Category,Headline,Slug,Subject/Question,Description,Linked celebrity,Seed Support,Seed Neutral,Seed Oppose
Tech,X AI and SpaceX merging,x-ai-and-spacex-merging,Do you support X AI and SpaceX merging?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “X AI and SpaceX merging”, then choose Support, Neutral, or Oppose.",,128,198,185
Tech,Crypto becoming mainstream global…,crypto-becoming-mainstream-global-finance,Do you support Crypto becoming mainstream global finance?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Crypto becoming mainstream global finance”, then choose Support, Neutral, or Oppose.",,252,201,118
Tech,SpaceX and Tesla merging,spacex-and-tesla-merging,Do you support SpaceX and Tesla merging?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “SpaceX and Tesla merging”, then choose Support, Neutral, or Oppose.",,139,195,129
Tech,AI replacing most office jobs,ai-replacing-most-office-jobs,Do you support AI replacing most office jobs?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI replacing most office jobs”, then choose Support, Neutral, or Oppose.",,92,179,264
Tech,BlackRock launching DeFi,blackrock-launching-defi-on-ethereum,Do you support BlackRock launching DeFi on Ethereum?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “BlackRock launching DeFi on Ethereum”, then choose Support, Neutral, or Oppose.",,70,247,156
Tech,Neuralink implanting chips,neuralink-implanting-chips-in-the-human-brain,Do you support Neuralink implanting chips in the human brain?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Neuralink implanting chips in the human brain”, then choose Support, Neutral, or Oppose.",,99,103,300
Tech,Governments regulating AI strictly,governments-regulating-ai-strictly,Do you support Governments regulating AI strictly?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Governments regulating AI strictly”, then choose Support, Neutral, or Oppose.",,87,282,93
Tech,Open-source AI being freely availa…,open-source-ai-being-freely-available,Do you support Open-source AI being freely available?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Open-source AI being freely available”, then choose Support, Neutral, or Oppose.",,93,197,62
Tech,TikTok being banned,tiktok-being-banned-in-certain-countries,Do you support TikTok being banned in certain countries?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “TikTok being banned in certain countries”, then choose Support, Neutral, or Oppose.",,20,54,257
Tech,Central Bank Digital Currencies (C…,central-bank-digital-currencies-cbdcs,Do you support Central Bank Digital Currencies (CBDCs)?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Central Bank Digital Currencies (CBDCs)”, then choose Support, Neutral, or Oppose.",,58,110,166
Tech,Apple launching AI-powered persona…,apple-launching-ai-powered-personal-assistants,Do you support Apple launching AI-powered personal assistants?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Apple launching AI-powered personal assistants”, then choose Support, Neutral, or Oppose.",,95,161,64
Tech,Tesla robotaxis replacing taxis,tesla-robotaxis-replacing-taxis,Do you support Tesla robotaxis replacing taxis?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Tesla robotaxis replacing taxis”, then choose Support, Neutral, or Oppose.",,70,107,294
Tech,Humanoid robots,humanoid-robots-in-everyday-workplaces,Do you support Humanoid robots in everyday workplaces?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Humanoid robots in everyday workplaces”, then choose Support, Neutral, or Oppose.",,93,200,165
Tech,Cashless societies,cashless-societies,Do you support Cashless societies?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Cashless societies”, then choose Support, Neutral, or Oppose.",,75,107,116
Tech,Self-driving cars replacing human…,self-driving-cars-replacing-human-drivers,Do you support Self-driving cars replacing human drivers?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Self-driving cars replacing human drivers”, then choose Support, Neutral, or Oppose.",,76,206,163
Tech,AI-generated movies and music,ai-generated-movies-and-music,Do you support AI-generated movies and music?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI-generated movies and music”, then choose Support, Neutral, or Oppose.",,180,189,124
Tech,Big Tech companies being broken up,big-tech-companies-being-broken-up,Do you support Big Tech companies being broken up?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Big Tech companies being broken up”, then choose Support, Neutral, or Oppose.",,162,270,191
Tech,Quantum computing,quantum-computing-for-national-security,Do you support Quantum computing for national security?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Quantum computing for national security”, then choose Support, Neutral, or Oppose.",,187,300,185
Tech,Social media age restrictions,social-media-age-restrictions,Do you support Social media age restrictions?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Social media age restrictions”, then choose Support, Neutral, or Oppose.",,102,279,151
Tech,Facial recognition in public spaces,facial-recognition-in-public-spaces,Do you support Facial recognition in public spaces?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Facial recognition in public spaces”, then choose Support, Neutral, or Oppose.",,74,300,113
Tech,AI tutors replacing school teachers,ai-tutors-replacing-school-teachers,Do you support AI tutors replacing school teachers?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI tutors replacing school teachers”, then choose Support, Neutral, or Oppose.",,102,105,247
Tech,Space tourism for the wealthy,space-tourism-for-the-wealthy,Do you support Space tourism for the wealthy?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Space tourism for the wealthy”, then choose Support, Neutral, or Oppose.",,50,132,93
Tech,Private companies owning space inf…,private-companies-owning-space-infrastructure,Do you support Private companies owning space infrastructure?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Private companies owning space infrastructure”, then choose Support, Neutral, or Oppose.",,85,184,136
Tech,Digital IDs for all citizens,digital-ids-for-all-citizens,Do you support Digital IDs for all citizens?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Digital IDs for all citizens”, then choose Support, Neutral, or Oppose.",,280,230,148
Tech,Mandatory cybersecurity standards,mandatory-cybersecurity-standards-for-companies,Do you support Mandatory cybersecurity standards for companies?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Mandatory cybersecurity standards for companies”, then choose Support, Neutral, or Oppose.",,52,111,167
Tech,Government regulation of crypto,government-regulation-of-crypto,Do you support Government regulation of crypto?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Government regulation of crypto”, then choose Support, Neutral, or Oppose.",,119,300,107
Tech,Bitcoin as a global reserve asset,bitcoin-as-a-global-reserve-asset,Do you support Bitcoin as a global reserve asset?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Bitcoin as a global reserve asset”, then choose Support, Neutral, or Oppose.",,125,281,164
Tech,AI weapons in military use,ai-weapons-in-military-use,Do you support AI weapons in military use?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI weapons in military use”, then choose Support, Neutral, or Oppose.",,20,57,239
Tech,Universal internet access as a hum…,universal-internet-access-as-a-human-right,Do you support Universal internet access as a human right?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Universal internet access as a human right”, then choose Support, Neutral, or Oppose.",,205,300,205
Tech,Smart cities with full data tracki…,smart-cities-with-full-data-tracking,Do you support Smart cities with full data tracking?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Smart cities with full data tracking”, then choose Support, Neutral, or Oppose.",,204,300,193
Tech,Metaverse-style virtual workspaces,metaverse-style-virtual-workspaces,Do you support Metaverse-style virtual workspaces?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Metaverse-style virtual workspaces”, then choose Support, Neutral, or Oppose.",,203,194,130
Tech,Subscription-only social media pla…,subscription-only-social-media-platforms,Do you support Subscription-only social media platforms?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Subscription-only social media platforms”, then choose Support, Neutral, or Oppose.",,251,220,237
Tech,Elon Musk owning multiple major te…,elon-musk-owning-multiple-major-tech-companies,Do you support Elon Musk owning multiple major tech companies?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Elon Musk owning multiple major tech companies”, then choose Support, Neutral, or Oppose.",Elon Musk,62,130,31
Tech,AI companions for emotional support,ai-companions-for-emotional-support,Do you support AI companions for emotional support?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI companions for emotional support”, then choose Support, Neutral, or Oppose.",,134,300,90
Tech,Genetic engineering,genetic-engineering-for-intelligence,Do you support Genetic engineering for intelligence?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Genetic engineering for intelligence”, then choose Support, Neutral, or Oppose.",,34,149,98
Tech,Fully autonomous delivery drones,fully-autonomous-delivery-drones,Do you support Fully autonomous delivery drones?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Fully autonomous delivery drones”, then choose Support, Neutral, or Oppose.",,209,216,111
Tech,Augmented reality replacing smartp…,augmented-reality-replacing-smartphones,Do you support Augmented reality replacing smartphones?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Augmented reality replacing smartphones”, then choose Support, Neutral, or Oppose.",,66,104,204
Tech,Tech companies controlling digital…,tech-companies-controlling-digital-identity,Do you support Tech companies controlling digital identity?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Tech companies controlling digital identity”, then choose Support, Neutral, or Oppose.",,187,236,252
Tech,AI-generated influencers,ai-generated-influencers,Do you support AI-generated influencers?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “AI-generated influencers”, then choose Support, Neutral, or Oppose.",,81,182,186
Tech,Brain-computer interfaces,brain-computer-interfaces-for-gaming,Do you support Brain-computer interfaces for gaming?,"This poll looks at a technology trend and its likely impact on society, markets, and users. Consider the potential benefits, risks, and trade-offs linked to “Brain-computer interfaces for gaming”, then choose Support, Neutral, or Oppose.",,115,298,245
Politics,Nicki Minaj supporting Trump/MAGA,nicki-minaj-supporting-trump-maga,Do you support Nicki Minaj supporting Trump/MAGA?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Nicki Minaj supporting Trump/MAGA”, then choose Support, Neutral, or Oppose.",Nicki Minaj,178,248,223
Politics,Rupert Lowe launching Restore Brit…,rupert-lowe-launching-restore-britain,Do you support Rupert Lowe launching Restore Britain?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Rupert Lowe launching Restore Britain”, then choose Support, Neutral, or Oppose.",,115,214,112
Politics,sovereign country should have stri…,a-sovereign-country-should-have-strict-border-control,Do you support A sovereign country should have strict border control?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “A sovereign country should have strict border control”, then choose Support, Neutral, or Oppose.",,190,300,185
Politics,Abortion rights expansion,abortion-rights-expansion,Do you support Abortion rights expansion?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Abortion rights expansion”, then choose Support, Neutral, or Oppose.",,201,259,163
Politics,Save America Act requiring voter ID,the-save-america-act-requiring-voter-id,Do you support The Save America Act requiring voter ID?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “The Save America Act requiring voter ID”, then choose Support, Neutral, or Oppose.",,222,267,134
Politics,ICE immigration enforcement polici…,ice-immigration-enforcement-policies,Do you support ICE immigration enforcement policies?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “ICE immigration enforcement policies”, then choose Support, Neutral, or Oppose.",,281,245,184
Politics,Transgender men competing,transgender-men-competing-in-womens-sports,Do you support Transgender men competing in women’s sports?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Transgender men competing in women’s sports”, then choose Support, Neutral, or Oppose.",,127,207,69
Politics,Universal basic income,universal-basic-income,Do you support Universal basic income?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Universal basic income”, then choose Support, Neutral, or Oppose.",,230,112,50
Politics,Wealth taxes on billionaires,wealth-taxes-on-billionaires,Do you support Wealth taxes on billionaires?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Wealth taxes on billionaires”, then choose Support, Neutral, or Oppose.",,40,181,289
Politics,Mandatory national service,mandatory-national-service,Do you support Mandatory national service?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Mandatory national service”, then choose Support, Neutral, or Oppose.",,127,169,238
Politics,Term limits for politicians,term-limits-for-politicians,Do you support Term limits for politicians?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Term limits for politicians”, then choose Support, Neutral, or Oppose.",,135,246,110
Politics,Legalization of recreational canna…,legalization-of-recreational-cannabis-worldwide,Do you support Legalization of recreational cannabis worldwide?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Legalization of recreational cannabis worldwide”, then choose Support, Neutral, or Oppose.",,120,300,186
Politics,Raising the retirement age,raising-the-retirement-age,Do you support Raising the retirement age?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Raising the retirement age”, then choose Support, Neutral, or Oppose.",,20,93,88
Politics,Climate change emergency policies,climate-change-emergency-policies,Do you support Climate change emergency policies?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Climate change emergency policies”, then choose Support, Neutral, or Oppose.",,118,138,85
Politics,Government subsidies,government-subsidies-for-electric-vehicles,Do you support Government subsidies for electric vehicles?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Government subsidies for electric vehicles”, then choose Support, Neutral, or Oppose.",,161,300,67
Politics,Banning fossil fuel cars by 2035,banning-fossil-fuel-cars-by-2035,Do you support Banning fossil fuel cars by 2035?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Banning fossil fuel cars by 2035”, then choose Support, Neutral, or Oppose.",,22,91,117
Politics,Student debt forgiveness,student-debt-forgiveness,Do you support Student debt forgiveness?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Student debt forgiveness”, then choose Support, Neutral, or Oppose.",,209,300,210
Politics,Stricter gun control laws,stricter-gun-control-laws,Do you support Stricter gun control laws?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Stricter gun control laws”, then choose Support, Neutral, or Oppose.",,162,300,170
Politics,Open borders immigration policies,open-borders-immigration-policies,Do you support Open borders immigration policies?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Open borders immigration policies”, then choose Support, Neutral, or Oppose.",,258,142,149
Politics,Global carbon tax,global-carbon-tax,Do you support Global carbon tax?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Global carbon tax”, then choose Support, Neutral, or Oppose.",,96,110,177
Politics,AI surveillance for public safety,ai-surveillance-for-public-safety,Do you support AI surveillance for public safety?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “AI surveillance for public safety”, then choose Support, Neutral, or Oppose.",,20,98,209
Politics,Online censorship to fight misinfo…,online-censorship-to-fight-misinformation,Do you support Online censorship to fight misinformation?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Online censorship to fight misinformation”, then choose Support, Neutral, or Oppose.",,178,220,300
Politics,Lowering the voting age to 16,lowering-the-voting-age-to-16,Do you support Lowering the voting age to 16?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Lowering the voting age to 16”, then choose Support, Neutral, or Oppose.",,106,97,73
Politics,Higher taxes on corporations,higher-taxes-on-corporations,Do you support Higher taxes on corporations?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Higher taxes on corporations”, then choose Support, Neutral, or Oppose.",,165,262,279
Politics,Privatization of healthcare,privatization-of-healthcare,Do you support Privatization of healthcare?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Privatization of healthcare”, then choose Support, Neutral, or Oppose.",,300,193,198
Politics,Free university education,free-university-education,Do you support Free university education?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Free university education”, then choose Support, Neutral, or Oppose.",,48,150,49
Politics,Nuclear energy expansion,nuclear-energy-expansion,Do you support Nuclear energy expansion?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Nuclear energy expansion”, then choose Support, Neutral, or Oppose.",,127,235,159
Politics,Military spending increases,military-spending-increases,Do you support Military spending increases?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Military spending increases”, then choose Support, Neutral, or Oppose.",,209,300,204
Politics,Mandatory voting laws,mandatory-voting-laws,Do you support Mandatory voting laws?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Mandatory voting laws”, then choose Support, Neutral, or Oppose.",,57,110,206
Politics,Political advertising bans,political-advertising-bans-on-social-media,Do you support Political advertising bans on social media?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Political advertising bans on social media”, then choose Support, Neutral, or Oppose.",,108,83,205
Politics,State control of major industries,state-control-of-major-industries,Do you support State control of major industries?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “State control of major industries”, then choose Support, Neutral, or Oppose.",,89,257,47
Politics,Public housing expansion,public-housing-expansion,Do you support Public housing expansion?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Public housing expansion”, then choose Support, Neutral, or Oppose.",,104,169,86
Politics,Government regulation of AI speech,government-regulation-of-ai-speech,Do you support Government regulation of AI speech?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Government regulation of AI speech”, then choose Support, Neutral, or Oppose.",,45,256,39
Politics,Digital currencies issued by govts,digital-currencies-issued-by-governments,Do you support Digital currencies issued by governments?,"This poll asks for your view on a political issue, policy, or public figure development. Consider the potential benefits, risks, and trade-offs linked to “Digital currencies issued by governments”, then choose Support, Neutral, or Oppose.",,126,300,228
